SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,62.15,62.6,62,62.2,62.1,62,15670,975986.5,07-JAN-2012,88,INE144J01019,
3IINFOTECH,EQ,12.8,13.7,12.8,13.6,13.6,13.05,921311,12437582.35,07-JAN-2012,3296,INE748C01020,
3MINDIA,EQ,3645,3645,3645,3645,3645,3634.25,1,3645,07-JAN-2012,1,INE470A01017,
A2ZMES,EQ,88,89.45,87.65,88.3,88.2,87.7,15673,1386150.9,07-JAN-2012,355,INE619I01012,
AANJANEYA,EQ,495,495,483.4,488.1,486,491.9,3952,1935978,07-JAN-2012,195,INE928K01013,
AARTIDRUGS,EQ,80.95,80.95,78.55,80.5,80.5,79.3,21,1682.9,07-JAN-2012,12,INE767A01016,
AARTIIND,EQ,47.25,48,47.25,47.95,48,47.9,1447,69357.05,07-JAN-2012,13,INE769A01020,
AARVEEDEN,EQ,31,31.3,31,31,31.3,29.1,101,3131.3,07-JAN-2012,3,INE273D01019,
ABAN,EQ,354.85,354.85,352,352.75,352,352.8,45968,16233875.3,07-JAN-2012,1433,INE421A01028,
ABB,EQ,580,588.7,578,583.65,584.55,582.95,4229,2464871.05,07-JAN-2012,210,INE117A01022,
ABBOTINDIA,EQ,1465,1468.9,1450,1450,1450,1445,41,59724.5,07-JAN-2012,8,INE358A01014,
ABCIL,EQ,78.8,78.8,77.8,78.55,78.55,77.15,135,10568,07-JAN-2012,13,INE605B01016,
ABGSHIP,EQ,395.6,400.25,392.15,397.55,399,392.7,59166,23555863.6,07-JAN-2012,834,INE067H01016,
ABHISHEK,EQ,7.45,7.45,7.1,7.4,7.45,7.35,2038,14902.4,07-JAN-2012,14,INE004I01017,
ABIRLANUVO,EQ,754,760,747.1,756.65,758,754.85,2236,1692493.15,07-JAN-2012,107,INE069A01017,
ACC,EQ,1110,1113.45,1098,1101.8,1098,1103.1,14709,16248363.65,07-JAN-2012,777,INE012A01025,
ACE,EQ,28.25,29.45,28.25,29.15,29,28.45,14401,413417.95,07-JAN-2012,131,INE731H01025,
ACROPETAL,EQ,12.3,12.5,12.05,12.3,12.2,12.2,12437,152219.05,07-JAN-2012,137,INE055L01013,
ADANIENT,EQ,269,271.8,266.1,269.15,268.5,268.55,81556,21963588.55,07-JAN-2012,2136,INE423A01024,
ADANIPOWER,EQ,65,65.6,64.1,64.55,64.3,64.45,45665,2963829.45,07-JAN-2012,556,INE814H01011,
ADFFOODS,EQ,55.85,55.85,55,55.45,55,54.15,220,12227.5,07-JAN-2012,8,INE982B01019,
ADHUNIK,EQ,37.55,38.75,37.55,38,38.15,37.65,5563,212313.9,07-JAN-2012,147,INE400H01019,
ADORWELD,EQ,118,118,118,118,118,118.15,5,590,07-JAN-2012,1,INE045A01017,
ADSL,EQ,20,20.65,19.8,20.45,20.25,20.15,9887,200521.65,07-JAN-2012,78,INE102I01027,
ADVANTA,EQ,240.05,241.8,238.3,240.1,240.5,239.05,2623,629471.25,07-JAN-2012,153,INE517H01010,
AEGISCHEM,EQ,113.5,115.5,112.1,114.05,113,114.35,633,71952.25,07-JAN-2012,35,INE208C01017,
AFL,EQ,37.85,37.85,37.85,37.85,37.85,37.15,100,3785,07-JAN-2012,1,INE020G01017,
AFTEK,EQ,10.35,10.55,10.2,10.3,10.35,10.35,12585,129835.4,07-JAN-2012,108,INE796A01023,
AGCNET,EQ,124,134.5,123.2,128.95,127,125.25,200,25713.95,07-JAN-2012,9,INE676A01019,
AGRODUTCH,EQ,5.4,5.45,5.25,5.4,5.4,5.35,1625,8727.4,07-JAN-2012,14,INE135B01014,
AHLEAST,EQ,315,315,315,315,315,307,5,1575,07-JAN-2012,1,INE926K01017,
AHLUCONT,EQ,56,61.65,56,56.2,56.2,55.5,640,36081.6,07-JAN-2012,17,INE758C01029,
AHMEDFORGE,EQ,97,97.9,96.05,97,97,94.75,5115,496217,07-JAN-2012,43,INE425A01011,
AIAENG,EQ,284.9,285,277.15,280.15,285,281.15,653,182570.9,07-JAN-2012,27,INE212H01026,
AJANTPHARM,EQ,300.1,300.1,300.1,300.1,300.1,304.35,1,300.1,07-JAN-2012,1,INE031B01015,
AJMERA,EQ,113,114.85,109,112.85,112.55,112.95,21668,2434815.25,07-JAN-2012,698,INE298G01027,
AKSHOPTFBR,EQ,6.85,6.9,6.8,6.85,6.85,7,14001,95929.35,07-JAN-2012,15,INE523B01011,
AKZOINDIA,EQ,789.7,789.8,768,784.55,775,774.95,641,496529.65,07-JAN-2012,78,INE133A01011,
ALBK,EQ,132.1,132.95,131.1,131.9,132,132.35,78940,10428351.55,07-JAN-2012,1302,INE428A01015,
ALCHEM,EQ,74.85,74.85,74.85,74.85,74.85,78.75,245,18338.25,07-JAN-2012,5,INE964B01033,
ALEMBICLTD,EQ,14.2,14.35,14,14.25,14.25,14.05,4138,58518.05,07-JAN-2012,35,INE426A01027,
ALFALAVAL,EQ,2385,2385,2358,2373.4,2370,2356.35,2595,6144346.65,07-JAN-2012,106,INE427A01017,
ALKALI,EQ,30.45,30.9,30.25,30.45,30.25,30.55,322,9804.7,07-JAN-2012,5,INE773I01017,
ALLCARGO,EQ,130,132.05,129.5,131.5,130.6,130.6,210,27483.4,07-JAN-2012,19,INE418H01029,
ALLSEC,EQ,11.4,11.4,11,11.15,11,10.2,1370,15272.5,07-JAN-2012,7,INE835G01018,
ALOKTEXT,EQ,18,18.15,17.9,18.05,17.95,17.95,889522,16043034.85,07-JAN-2012,901,INE270A01011,
ALPSINDUS,EQ,2,2.25,2,2.25,2.25,2.1,1071,2151.65,07-JAN-2012,6,INE093B01015,
AMAR,EQ,127.1,133.5,127.1,131.55,131.9,129.1,12922,1694176.35,07-JAN-2012,201,INE787G01011,
AMARAJABAT,EQ,203.1,206.5,203.1,204.9,205.95,204.4,724,148036.85,07-JAN-2012,54,INE885A01024,
AMBIKCO,EQ,154,155,154,154.7,154.25,157.8,80,12355,07-JAN-2012,4,INE540G01014,
AMBUJACEM,EQ,153.55,154,152.1,152.75,152.1,153.7,60954,9316622.4,07-JAN-2012,764,INE079A01024,
AMRUTANJAN,EQ,659,659,652,654.4,654.1,654.35,3858,2524557.6,07-JAN-2012,282,INE098F01015,
AMTEKAUTO,EQ,96.7,96.7,95.15,96.15,96.4,96.1,2632,253055.6,07-JAN-2012,45,INE130C01021,
AMTEKINDIA,EQ,96.7,97.25,95.15,96.4,95.65,96.7,11447,1104065.6,07-JAN-2012,44,INE068D01021,
ANANTRAJ,EQ,43.45,44.3,42.7,43.5,43.5,43.35,43107,1882265.5,07-JAN-2012,318,INE242C01024,
ANDHRABANK,EQ,84.4,85.65,84.4,85.3,85.65,84.3,42455,3606879.1,07-JAN-2012,582,INE434A01013,
ANDHRACEMT,BE,11.3,11.35,11.3,11.35,11.35,11.55,1460,16568.5,07-JAN-2012,6,INE666E01012,
ANDHRSUGAR,EQ,109,109,108.05,108.3,108.05,108,617,66834.95,07-JAN-2012,13,INE715B01013,
ANGIND,EQ,17,17,16.95,16.95,16.95,16,121,2052,07-JAN-2012,2,INE017D01010,
ANIKINDS,EQ,27,27.5,27,27.5,27.5,27.05,560,15260,07-JAN-2012,33,INE087B01017,
ANKURDRUGS,EQ,15.6,16.2,15.15,16.1,16.2,15.9,3918,61573.35,07-JAN-2012,40,INE238D01012,
ANSALAPI,EQ,25.35,26.5,25.35,26.3,26.5,25.35,19230,503314.05,07-JAN-2012,164,INE436A01026,
ANSALHSG,EQ,33.35,36,33.2,33.45,34,33.35,1329,45171.2,07-JAN-2012,40,INE880B01015,
ANTGRAPHIC,EQ,0.25,0.25,0.2,0.25,0.25,0.25,51800,12900,07-JAN-2012,4,INE414B01021,
APARINDS,EQ,112.5,115.65,112.5,113.5,114,113.45,660,75115.25,07-JAN-2012,18,INE372A01015,
APCOTEXIND,EQ,133.35,135.05,133.35,134.25,135.05,133.9,59,7920.25,07-JAN-2012,37,INE116A01016,
APIL,EQ,309.65,312,306.3,309.65,310,307.1,5823,1800190.3,07-JAN-2012,320,INE878A01011,
APLLTD,EQ,35.75,37.45,35.75,36.85,36.85,36.1,2205,79029.65,07-JAN-2012,15,INE901L01018,
APOLLOHOSP,EQ,571,583,571,576.75,578.5,570.9,58412,33782104.35,07-JAN-2012,2032,INE437A01024,
APOLLOTYRE,EQ,62.8,63,62.3,62.65,63,62.45,47763,2996124.3,07-JAN-2012,566,INE438A01022,
APPAPER,EQ,131.1,132.95,131.1,131.9,132.95,133.25,4424,583849.05,07-JAN-2012,50,INE435A01028,
APTECHT,EQ,71.2,71.9,70.4,70.8,70.4,71.25,49528,3509675.55,07-JAN-2012,728,INE266F01018,
AQUA,EQ,8.75,8.75,8.45,8.55,8.45,8.5,10644,91186.95,07-JAN-2012,31,INE544K01026,
ARCHIDPLY,BE,12.8,13.35,12.8,12.8,13.35,12.9,151,1933.35,07-JAN-2012,2,INE877I01016,
ARCHIES,EQ,26,28.3,25.5,27.45,27.65,26.05,47860,1301784.7,07-JAN-2012,416,INE731A01020,
AREVAT&D,EQ,163.45,164,161.35,161.95,161.55,162.75,2662,432197.9,07-JAN-2012,133,INE200A01026,
ARIES,EQ,68.7,72.6,68.7,71.8,71.9,69.3,1104,79274.7,07-JAN-2012,46,INE298I01015,
ARIHANT,EQ,39.8,39.8,39.8,39.8,39.8,40.9,200,7960,07-JAN-2012,1,INE413D01011,
ARL,EQ,2.1,2.1,2,2,2.05,2.05,36340,72914,07-JAN-2012,16,INE211C01029,
ARSHIYA,EQ,124,124,122.05,122.9,123.5,123.75,7659,942335.4,07-JAN-2012,148,INE968D01022,
ARSSINFRA,EQ,114.2,115,112.5,114.15,114.3,114.7,9611,1095896.85,07-JAN-2012,310,INE267I01010,
ARVIND,EQ,74.85,75.5,74,75.25,75.25,74,593489,44524347.95,07-JAN-2012,3641,INE034A01011,
ASAHIINDIA,EQ,57.95,57.95,56.35,56.35,56.35,56.45,615,34691.75,07-JAN-2012,6,INE439A01020,
ASAHISONG,EQ,81,81,78,79.35,79.7,80.5,1761,141010.55,07-JAN-2012,19,INE228I01012,
ASAL,EQ,46.1,49.9,46,49.1,49.7,46,276,13238.7,07-JAN-2012,9,INE900C01027,
ASHAPURMIN,EQ,14.85,14.85,13.65,13.95,14.2,13.9,3340,46771.55,07-JAN-2012,29,INE348A01023,
ASHCONIUL,BE,2.25,2.25,2.25,2.25,2.25,2.15,400,900,07-JAN-2012,1,INE714F01033,
ASHIANA,EQ,143,144,142.9,143.1,144,140,66,9441.5,07-JAN-2012,8,INE365D01013,
ASHIMASYN,EQ,3.75,3.75,3.75,3.75,3.75,3.95,100,375,07-JAN-2012,1,INE440A01010,
ASHOKLEY,EQ,23.4,23.55,23.2,23.4,23.3,23.45,451627,10556365.3,07-JAN-2012,3672,INE208A01029,
ASIANELEC,EQ,5.85,6.05,5.85,5.85,6,6,3357,19757.85,07-JAN-2012,22,INE441A01026,
ASIANHOTNR,EQ,162,162,162,162,162,162.9,25,4050,07-JAN-2012,2,INE363A01022,
ASIANPAINT,EQ,2688,2688,2660,2662.8,2669.95,2660.6,624,1661498.95,07-JAN-2012,70,INE021A01018,
ASIANTILES,EQ,32.65,32.65,30.2,30.2,30.2,31.1,2,62.85,07-JAN-2012,2,INE022I01019,
ASIL,EQ,2,2,2,2,2,1.9,500,1000,07-JAN-2012,1,INE988A01026,
ASSAMCO,EQ,8.25,8.4,8.2,8.3,8.35,8.25,27128,225769.45,07-JAN-2012,79,INE442A01024,
ASTEC,EQ,32.35,33.2,32.3,33,33.2,33,1025,33407.25,07-JAN-2012,12,INE563J01010,
ASTERSILI,EQ,11.75,11.75,10.95,10.95,11.25,11.05,3299,37936.05,07-JAN-2012,20,INE900K01012,
ASTRAMICRO,EQ,34,34.9,34,34.25,34.25,34.7,1378,47282.75,07-JAN-2012,25,INE386C01029,
ASTRAZEN,EQ,1306,1329,1306,1318.35,1329,1297.95,46,60645,07-JAN-2012,7,INE203A01020,
ATFL,EQ,398,400,391.1,392,391.1,392.35,657,259436.05,07-JAN-2012,37,INE209A01019,
ATLANTA,EQ,58.5,58.5,57.5,57.85,58.25,57.7,2266,131165.7,07-JAN-2012,41,INE285H01022,
ATLASCYCLE,EQ,280,280.9,278,278.45,278.8,278.4,2729,762273.2,07-JAN-2012,109,INE446A01017,
ATNINTER,EQ,0.85,0.85,0.85,0.85,0.85,0.8,10201,8670.85,07-JAN-2012,8,INE803A01027,
ATUL,EQ,150.1,154.4,150.1,152.2,153.5,151.25,832,126444.85,07-JAN-2012,47,INE100A01010,
AUROPHARMA,EQ,91.65,91.65,90,90.5,90.6,89.8,50253,4550098.6,07-JAN-2012,549,INE406A01037,
AUSTRAL,EQ,1.4,1.45,1.4,1.45,1.4,1.4,21679,31153.5,07-JAN-2012,30,INE455J01027,
AUTOAXLES,EQ,385.05,393.4,385.05,392.35,393.4,383,8,3138.8,07-JAN-2012,3,INE449A01011,
AUTOIND,EQ,111,117,110,114.4,115.4,109.85,24791,2813155.65,07-JAN-2012,732,INE718H01014,
AUTOLITIND,EQ,15.3,15.3,14.05,14.05,14.5,13.95,1407,20114.8,07-JAN-2012,20,INE448A01013,
AVANTI,BE,122.1,130.7,122,122,122,125.35,170,21411,07-JAN-2012,6,INE871C01012,
AVENTIS,EQ,2329.5,2329.5,2270,2312.4,2310,2283.65,57,131809.5,07-JAN-2012,13,INE058A01010,
AVTNPL,EQ,261.1,278.45,261.1,275.7,277,270.05,186,51326.15,07-JAN-2012,12,INE488D01013,
AXIS-IT&T,EQ,87,101,87,97.6,94.2,86.6,441105,42611710.05,07-JAN-2012,9100,INE555B01013,
AXISBANK,EQ,850.1,855.5,848.2,852.2,852.3,853.5,155654,132671037.85,07-JAN-2012,4568,INE238A01026,
AXISGOLD,EQ,2740,2740,2725,2729.7,2725,2727.5,65,177671.85,07-JAN-2012,21,INF846K01347,
BAGFILMS,EQ,4.4,4.5,4.05,4.4,4.5,4.15,64384,281875.35,07-JAN-2012,239,INE116D01028,
BAJAJ-AUTO,EQ,1468.9,1468.9,1445,1448.45,1445.5,1456.75,40007,58076683,07-JAN-2012,2148,INE917I01010,
