,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Share Capital +,14,14,16,17,17,18,18,18,18,18,18,18
Reserves,30,38,53,57,54,70,107,126,150,170,197,234
Borrowings +,120,159,165,177,165,163,152,134,124,119,104,123
Other Liabilities +,48,57,60,77,98,83,86,98,112,137,133,140
Total Liabilities,213,268,294,328,333,334,363,376,404,444,452,514
Fixed Assets +,78,84,152,158,151,151,177,185,195,201,203,207
CWIP,5,37,4,9,7,4,7,8,4,11,3,5
Investments,1,1,1,1,1,1,2,3,4,2,6,9
Other Assets +,129,146,137,160,174,178,177,179,201,230,240,293
Total Assets,213,268,294,328,333,334,363,376,404,444,452,514
