,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,24,24,24,24,24,23,93,93,93
Reserves,100,112,134,151,284,333,376,432,520,629,820,944,"1,017"
Borrowings +,217,192,189,267,448,483,480,546,507,389,351,543,586
Other Liabilities +,88,88,84,93,248,261,311,388,405,535,502,629,573
Total Liabilities,417,403,419,523,"1,004","1,102","1,191","1,389","1,455","1,576","1,766","2,208","2,269"
Fixed Assets +,190,205,208,248,448,493,581,602,625,644,665,690,686
CWIP,15,1,3,10,16,34,14,28,33,12,19,77,131
Investments,13,2,2,5,5,5,12,11,12,13,17,19,19
Other Assets +,199,196,206,260,534,570,584,748,785,907,"1,064","1,422","1,433"
Total Assets,417,403,419,523,"1,004","1,102","1,191","1,389","1,455","1,576","1,766","2,208","2,269"
