,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,3,3,3,3,3,15,15,15,15,15,15
Reserves,17,21,26,27,32,48,55,62,70,80,87
Borrowings +,12,11,9,9,15,4,8,10,4,6,14
Other Liabilities +,12,14,14,12,17,16,28,32,31,48,47
Total Liabilities,43,49,53,52,67,83,106,118,120,149,163
Fixed Assets +,10,9,9,7,7,7,12,11,10,10,11
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,1,0,0,0,0,0,0,0,0,0,0
Other Assets +,33,39,44,44,60,76,94,106,109,138,152
Total Assets,43,49,53,52,67,83,106,118,120,149,163
