,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,335,290,290,290,293,12,12,12,12,12,12,12,12
Reserves,"1,799","2,572","2,994","3,837","5,403","3,682","2,624",7,"-5,320","-15,332","-16,834","-19,524","-21,439"
Borrowings +,"13,025","13,513","13,647","14,561","14,060","14,716","14,005","13,740","14,351","15,688","15,185","15,249","15,050"
Other Liabilities +,"1,245","1,274","1,539","1,640","1,499","1,820","2,087","3,179","4,615","5,643","6,257","7,232","8,293"
Total Liabilities,"16,077","17,368","18,189","20,047","20,973","20,229","18,728","16,938","13,657","6,011","4,619","2,968","1,916"
Fixed Assets +,"13,906","15,697","16,409","17,866","18,363","17,197","16,203","14,369","11,262","4,052","3,191",704,727
CWIP,18,25,20,0,19,0,9,0,6,0,0,0,0
Investments,15,3,6,8,13,16,27,27,26,23,23,23,23
Other Assets +,"2,139","1,643","1,753","2,173","2,578","3,016","2,488","2,542","2,363","1,935","1,405","2,241","1,166"
Total Assets,"16,077","17,368","18,189","20,047","20,973","20,229","18,728","16,938","13,657","6,011","4,619","2,968","1,916"
