,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,774,774,916,939,949
Reserves,655,394,"1,833","1,938","2,649"
Borrowings +,"1,702","5,284","3,599","4,100","4,618"
Other Liabilities +,"3,490","3,306","3,701","5,218","7,236"
Total Liabilities,"6,621","9,758","10,049","12,195","15,451"
Fixed Assets +,"2,555","4,940","5,627","6,059","6,705"
CWIP,22,48,38,103,170
Investments,4,14,418,684,"1,055"
Other Assets +,"4,039","4,756","3,966","5,348","7,521"
Total Assets,"6,621","9,758","10,049","12,195","15,451"
