,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,21,22,22,22,22,22,22,20,20,20,21,22
Reserves,91,92,127,126,131,136,145,153,151,184,235,313,361
Borrowings +,34,37,43,28,18,6,5,1,0,23,1,70,15
Other Liabilities +,20,25,23,25,24,21,19,30,23,37,67,64,106
Total Liabilities,165,175,215,201,194,185,191,205,195,265,324,468,505
Fixed Assets +,81,74,87,80,93,83,81,80,69,77,77,160,161
CWIP,1,1,0,9,2,0,1,0,1,2,0,0,1
Investments,9,18,30,21,8,8,8,0,0,18,17,39,52
Other Assets +,75,83,98,91,92,94,100,125,125,167,229,268,290
Total Assets,165,175,215,201,194,185,191,205,195,265,324,468,505
