,Mar 2006,Dec 2006,Dec 2007,Dec 2008,Dec 2009,Dec 2010,Dec 2011,Dec 2012,Dec 2013,Dec 2014,TTM
Sales +,43,286,402,584,651,654,949,"1,064","1,255","1,513","1,360"
Expenses +,34,259,344,510,595,632,817,900,"1,068","1,268","1,130"
Operating Profit,9,27,58,74,55,22,131,164,187,244,229
OPM %,21%,10%,14%,13%,9%,3%,14%,15%,15%,16%,17%
Other Income +,1,66,55,42,45,39,1,4,-9,-3,-5
Interest,3,26,41,43,62,68,83,68,93,120,46
Depreciation,1,5,12,19,22,24,26,32,37,39,41
Profit before tax,6,62,59,55,17,-32,24,68,48,82,137
Tax %,20%,20%,25%,10%,-51%,6%,48%,12%,7%,-2%,
Net Profit,4,49,44,49,25,-30,12,59,44,84,97
EPS in Rs,7.06,58.75,26.95,,,-16.24,7.27,35.12,5.28,9.90,9.76
