,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,21,21,22,22,22,22,22,22,22,22,22,22,22
Reserves,42,75,140,145,188,256,442,537,657,817,949,"1,066","1,142"
Borrowings +,64,207,186,167,115,101,54,67,35,28,28,35,37
Other Liabilities +,25,46,48,73,92,71,65,102,91,104,150,137,152
Total Liabilities,153,349,396,406,417,450,583,727,805,971,"1,149","1,260","1,353"
Fixed Assets +,51,204,287,287,287,285,421,491,495,563,604,619,638
CWIP,19,60,2,2,5,7,8,11,10,10,10,15,16
Investments,0,0,0,0,0,0,0,0,111,124,121,102,234
Other Assets +,82,84,107,117,125,158,153,226,188,275,414,524,465
Total Assets,153,349,396,406,417,450,583,727,805,971,"1,149","1,260","1,353"
