,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,33,33,33,33,33,33,33,33,33,34,35,35,35
Reserves,245,258,276,317,394,471,804,"1,174","1,358","1,621","1,901","2,145","3,297"
Borrowings +,124,"2,109",332,241,218,188,286,304,239,253,734,835,"1,537"
Other Liabilities +,146,556,364,295,291,206,871,703,715,982,371,946,"1,532"
Total Liabilities,548,"2,957","1,005",886,937,899,"1,994","2,214","2,345","2,890","3,042","3,961","6,401"
Fixed Assets +,239,238,295,426,454,472,748,"1,282","1,329","1,699","1,711","2,376","3,537"
CWIP,43,63,83,35,34,73,313,126,121,220,488,253,353
Investments,27,23,16,11,21,0,0,0,10,7,0,0,112
Other Assets +,239,"2,633",611,413,428,354,933,806,885,964,844,"1,333","2,399"
Total Assets,548,"2,957","1,005",886,937,899,"1,994","2,214","2,345","2,890","3,042","3,961","6,401"
