,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,58,82,121,181,222,281,297,414,531,787,904,"1,598","1,835"
Expenses +,53,75,109,168,206,260,271,383,494,741,832,"1,492","1,711"
Operating Profit,5,7,12,14,16,21,26,31,37,46,71,106,124
OPM %,9%,8%,10%,8%,7%,8%,9%,7%,7%,6%,8%,7%,7%
Other Income +,1,1,-0,1,1,1,1,1,1,3,2,4,9
Interest,1,1,2,4,4,7,7,9,9,9,10,12,12
Depreciation,3,3,4,4,4,5,6,8,8,9,14,20,21
Profit before tax,2,3,5,6,8,10,14,15,20,31,49,78,100
Tax %,30%,20%,34%,21%,30%,31%,37%,30%,34%,18%,17%,18%,
Net Profit,2,2,3,5,6,7,9,10,13,26,41,64,83
EPS in Rs,3.74,5.67,6.19,9.25,10.67,12.46,8.82,10.02,13.11,24.91,39.51,48.22,60.37
