,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"1,160","1,417","1,750","2,079","2,182","2,097","2,246","2,445","3,070","2,970","2,881","3,567","4,350"
Expenses +,910,"1,139","1,437","1,573","1,593","1,484","1,607","1,906","2,406","2,285","2,220","2,841","3,404"
Operating Profit,250,277,314,506,589,613,639,540,664,685,661,726,946
OPM %,22%,20%,18%,24%,27%,29%,28%,22%,22%,23%,23%,20%,22%
Other Income +,26,13,21,2,83,101,104,122,121,142,170,156,134
Interest,4,8,10,10,8,8,8,11,11,10,8,8,7
Depreciation,25,29,34,38,70,66,72,66,79,98,94,92,92
Profit before tax,246,253,291,460,594,641,662,585,694,719,730,781,981
Tax %,26%,28%,27%,29%,27%,29%,31%,24%,26%,18%,22%,21%,
Net Profit,184,181,212,326,431,457,457,444,511,590,566,620,769
EPS in Rs,19.44,19.13,22.35,34.45,45.69,48.44,48.43,47.00,54.16,62.59,60.02,65.70,81.43
