,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,18,18,18,18,18,18,18,17,17,26
Reserves,217,286,382,576,823,"1,173","1,550","2,024","2,228","2,581","2,978","3,247","3,578"
Borrowings +,191,200,125,130,72,81,1,2,36,75,31,25,28
Other Liabilities +,103,151,200,226,233,207,254,383,383,619,702,711,816
Total Liabilities,522,649,718,949,"1,146","1,479","1,823","2,426","2,664","3,293","3,729","4,000","4,448"
Fixed Assets +,214,246,273,279,288,451,589,"1,053","1,178","1,472","1,541","1,512","1,488"
CWIP,17,3,12,94,170,240,339,61,262,132,108,153,182
Investments,8,8,8,63,60,86,182,190,78,79,176,147,306
Other Assets +,282,392,425,513,629,703,713,"1,122","1,147","1,610","1,904","2,188","2,472"
Total Assets,522,649,718,949,"1,146","1,479","1,823","2,426","2,664","3,293","3,729","4,000","4,448"
