,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,94,94,96,96,98,103,81,81,81,81,81,81,81
Reserves,233,254,287,279,311,357,381,402,412,46,22,22,23
Borrowings +,105,115,17,135,142,109,150,270,310,269,245,208,183
Other Liabilities +,61,91,147,70,98,104,146,187,200,200,165,166,142
Total Liabilities,493,531,548,581,649,673,758,941,"1,003",597,513,477,430
Fixed Assets +,140,127,107,98,123,108,119,248,244,260,238,215,208
CWIP,149,149,149,161,147,151,170,165,240,94,92,92,92
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,204,255,292,322,380,414,469,528,519,243,183,170,130
Total Assets,493,531,548,581,649,673,758,941,"1,003",597,513,477,430
