,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,24,24,24,24,24,24,24,24,24
Reserves,"1,416","1,802","2,160","2,567","2,975","3,668","4,444","4,840","5,415","6,137","7,353","8,614","9,118"
Borrowings +,909,"1,007","1,552","1,128","1,306",658,659,998,944,"1,616","1,792","2,668","1,855"
Other Liabilities +,514,644,547,604,986,"1,184","1,440","1,803","1,824","2,169","2,351","2,763","2,873"
Total Liabilities,"2,852","3,466","4,271","4,311","5,291","5,534","6,568","7,664","8,208","9,946","11,519","14,069","13,869"
Fixed Assets +,693,919,"1,072","1,170","1,374","1,450","1,797","2,284","2,530","2,908","2,793","2,902","2,879"
CWIP,0,0,0,0,111,172,299,381,493,363,393,339,402
Investments,54,323,478,588,481,509,553,444,324,261,333,371,420
Other Assets +,"2,105","2,224","2,721","2,553","3,325","3,403","3,918","4,555","4,861","6,413","8,000","10,457","10,168"
Total Assets,"2,852","3,466","4,271","4,311","5,291","5,534","6,568","7,664","8,208","9,946","11,519","14,069","13,869"
