,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Share Capital +,10,10,10,10,10,10,10,10,10,10,10,10
Reserves,56,64,75,88,106,140,174,199,246,299,369,526
Borrowings +,133,114,120,123,146,151,135,111,120,181,165,87
Other Liabilities +,54,51,52,60,78,98,93,95,147,159,218,160
Total Liabilities,254,238,258,282,341,398,412,416,522,649,763,783
Fixed Assets +,103,98,98,122,126,155,151,187,220,355,376,423
CWIP,7,14,23,6,9,3,31,16,35,18,43,45
Investments,4,6,10,10,10,10,10,10,12,13,16,0
Other Assets +,139,121,126,144,195,230,220,203,256,262,328,315
Total Assets,254,238,258,282,341,398,412,416,522,649,763,783
