,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,8,8,8,8,8,8,8,8,8,8,8
Reserves,107,118,130,158,177,79,92,94,93,94,106,133,138
Borrowings +,85,103,109,104,115,16,10,8,3,11,11,7,5
Other Liabilities +,63,118,81,117,99,21,23,17,12,12,8,29,29
Total Liabilities,263,347,328,387,398,124,134,127,116,124,134,177,180
Fixed Assets +,90,105,111,106,109,33,35,34,32,31,29,30,29
CWIP,7,59,57,58,65,0,1,2,2,2,2,0,0
Investments,21,12,17,21,14,11,23,26,15,23,37,55,69
Other Assets +,146,170,143,202,211,79,74,65,67,68,65,93,82
Total Assets,263,347,328,387,398,124,134,127,116,124,134,177,180
