,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Share Capital +,8,8,8,8,8,8,8,8,8
Reserves,24,40,48,50,33,-12,-45,-58,-74
Borrowings +,15,85,148,173,242,256,268,312,347
Other Liabilities +,56,74,92,81,71,80,82,89,39
Total Liabilities,102,206,296,311,353,331,313,351,320
Fixed Assets +,14,44,102,108,180,177,174,170,163
CWIP,14,0,59,59,0,0,0,0,0
Investments,1,1,0,0,0,0,0,0,0
Other Assets +,73,162,134,143,173,154,139,181,156
Total Assets,102,206,296,311,353,331,313,351,320
