,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014
Sales +,205,230,194,299,302,224,177,254,276
Expenses +,191,214,169,269,291,247,165,234,261
Operating Profit,14,17,25,30,12,-23,12,20,15
OPM %,7%,7%,13%,10%,4%,-10%,7%,8%,5%
Other Income +,9,10,1,0,1,1,1,1,1
Interest,1,3,8,20,20,18,23,27,30
Depreciation,1,1,3,5,8,4,3,7,7
Profit before tax,20,22,15,4,-16,-44,-13,-13,-21
Tax %,21%,22%,33%,82%,-4%,-1%,-4%,-4%,-3%
Net Profit,16,17,10,1,-16,-44,-14,-14,-22
EPS in Rs,21.39,22.69,13.20,1.05,-21.73,-59.29,-18.21,-18.40,-29.21
