,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016
Share Capital +,3,3,3,3,3,3,3,3,3,3,3
Reserves,15,20,23,90,94,98,74,79,86,92,106
Borrowings +,6,8,8,1,1,30,22,15,8,2,2
Other Liabilities +,13,10,14,17,20,26,25,27,23,26,29
Total Liabilities,37,41,48,111,118,157,124,124,120,124,140
Fixed Assets +,16,13,20,16,16,52,33,30,27,24,29
CWIP,0,3,3,2,7,0,1,1,1,4,1
Investments,0,0,0,0,46,42,29,25,9,9,9
Other Assets +,21,26,25,92,50,62,62,69,83,87,102
Total Assets,37,41,48,111,118,157,124,124,120,124,140
