,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,64,65,65,65,67,67,98,98,98,98,98,98,98
Reserves,111,136,161,209,249,270,238,257,253,245,281,276,288
Borrowings +,142,144,140,94,98,88,41,28,53,81,70,67,80
Other Liabilities +,167,171,178,208,218,216,212,187,187,179,187,197,226
Total Liabilities,484,516,544,576,631,641,589,570,591,602,636,638,692
Fixed Assets +,174,178,177,181,183,186,81,85,87,94,103,112,109
CWIP,3,3,5,6,5,1,18,37,59,77,75,82,93
Investments,58,72,85,97,131,143,169,179,179,202,203,197,196
Other Assets +,248,263,277,292,313,311,321,270,265,228,255,247,294
Total Assets,484,516,544,576,631,641,589,570,591,602,636,638,692
