,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,20,20,59,59,59,59,59,59,59,59,59,59
Reserves,280,319,356,355,377,385,380,361,229,171,129,106,58
Borrowings +,340,390,485,616,668,653,611,626,634,628,596,583,516
Other Liabilities +,296,537,845,917,788,805,825,832,"1,499","1,535","1,614","1,628","1,549"
Total Liabilities,936,"1,266","1,707","1,947","1,893","1,903","1,875","1,878","2,422","2,394","2,399","2,376","2,183"
Fixed Assets +,43,46,54,74,78,74,68,61,49,41,36,32,30
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,1,2,2,2,1,1,1,1,1,1
Other Assets +,892,"1,220","1,653","1,871","1,813","1,827","1,806","1,816","2,371","2,351","2,361","2,344","2,152"
Total Assets,936,"1,266","1,707","1,947","1,893","1,903","1,875","1,878","2,422","2,394","2,399","2,376","2,183"
