,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"3,027","3,589","4,643","4,628","5,108","5,078","4,832","5,818","7,964","7,425","6,388","9,320","11,569"
Expenses +,"2,800","3,368","4,322","4,321","4,843","4,698","4,398","5,393","7,472","6,930","5,948","8,742","10,816"
Operating Profit,227,222,321,307,264,380,434,426,491,495,440,578,754
OPM %,7%,6%,7%,7%,5%,7%,9%,7%,6%,7%,7%,6%,7%
Other Income +,25,47,-3,4,1,10,15,11,15,15,19,33,33
Interest,78,170,144,155,162,175,131,158,223,254,157,171,204
Depreciation,21,22,24,27,31,38,45,56,67,87,93,98,101
Profit before tax,154,77,150,129,72,178,273,223,216,169,208,342,482
Tax %,38%,3%,27%,30%,32%,32%,36%,35%,37%,20%,23%,25%,
Net Profit,96,74,110,90,49,122,177,145,136,135,160,257,363
EPS in Rs,29.48,20.30,28.45,23.37,12.86,31.61,46.14,37.82,35.55,35.32,41.94,67.09,94.77
