,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13,13,13,13,13,13,13,13,13
Reserves,116,127,146,164,165,159,162,170,176,181,198,211,235
Borrowings +,117,156,190,178,167,167,137,171,172,150,143,112,82
Other Liabilities +,98,83,80,93,99,109,137,123,133,143,148,173,218
Total Liabilities,345,380,429,448,444,448,450,477,494,487,501,509,548
Fixed Assets +,92,85,101,100,87,87,71,88,95,48,55,68,66
CWIP,19,20,14,11,9,16,22,14,15,12,13,0,0
Investments,1,2,2,2,2,2,0,0,0,59,57,57,62
Other Assets +,233,273,313,335,345,342,357,376,384,368,376,384,420
Total Assets,345,380,429,448,444,448,450,477,494,487,501,509,548
