,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,5,11,12,12,12,12,12,12,12,14,14,14,14
Reserves,5,4,5,18,35,58,86,86,66,62,70,61,54
Borrowings +,9,10,3,0,0,0,0,0,0,5,5,5,8
Other Liabilities +,2,3,6,11,13,16,8,8,9,10,9,9,18
Total Liabilities,21,27,25,41,60,86,106,106,87,92,99,89,94
Fixed Assets +,3,2,3,8,11,16,26,26,23,28,26,28,40
CWIP,0,1,1,1,1,1,1,1,2,10,12,13,0
Investments,-0,-0,-0,7,15,15,18,29,17,14,9,1,0
Other Assets +,18,24,22,25,33,53,60,49,45,40,53,46,54
Total Assets,21,27,25,41,60,86,106,106,87,92,99,89,94
