,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,10,26,28,32,35,36,36,42,44
Reserves,116,118,166,263,219,253,262,365,416
Borrowings +,31,92,93,161,171,218,189,30,109
Other Liabilities +,105,120,145,140,352,291,439,698,724
Total Liabilities,262,355,433,596,777,798,926,"1,136","1,293"
Fixed Assets +,3,10,10,10,10,9,9,43,45
CWIP,0,0,11,12,14,20,39,13,15
Investments,0,0,2,2,2,1,1,0,0
Other Assets +,259,345,410,572,752,767,876,"1,080","1,233"
Total Assets,262,355,433,596,777,798,926,"1,136","1,293"
