,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,19,19,20,20,20,20,20,20,20,20,20
Reserves,156,221,249,266,502,630,702,745,761,729,730,716,719
Borrowings +,1,22,14,12,37,68,89,138,163,124,68,174,178
Other Liabilities +,73,68,130,316,619,465,409,328,249,299,521,954,"1,096"
Total Liabilities,249,329,412,613,"1,179","1,183","1,220","1,232","1,194","1,173","1,339","1,864","2,014"
Fixed Assets +,42,44,46,56,68,63,86,121,121,130,98,93,88
CWIP,0,0,0,1,4,1,0,0,0,0,0,0,0
Investments,75,91,55,33,255,178,174,158,128,66,86,138,135
Other Assets +,132,194,311,522,853,941,960,953,945,976,"1,155","1,633","1,791"
Total Assets,249,329,412,613,"1,179","1,183","1,220","1,232","1,194","1,173","1,339","1,864","2,014"
