,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"11,859","15,708","21,260","22,871","29,636","33,197","21,951","19,454","26,237","34,657"
Expenses +,"11,437","14,191","18,281","19,826","25,387","28,287","18,718","16,992","23,472","31,015"
Operating Profit,422,"1,517","2,979","3,045","4,248","4,910","3,233","2,462","2,765","3,642"
OPM %,4%,10%,14%,13%,14%,15%,15%,13%,11%,11%
Other Income +,613,-106,-321,406,190,139,57,207,-230,-230
Interest,805,872,925,"1,049","1,227","1,502","1,802","1,901","1,869","1,895"
Depreciation,530,580,524,573,646,676,750,836,866,869
Profit before tax,-300,-42,"1,209","1,829","2,565","2,872",739,-67,-200,648
Tax %,23%,-415%,41%,11%,29%,24%,38%,-4%,-43%,
Net Profit,-222,-205,712,"1,633","1,814","2,195",460,-70,-285,258
EPS in Rs,-0.62,0.47,2.40,5.58,6.01,7.08,1.15,-0.56,-1.22,0.65
