,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,15,15,15,22,22,22,26,38,38,38,38,38,38
Reserves,76,67,57,43,15,-12,8,102,114,144,166,204,178
Borrowings +,11,20,27,47,70,110,83,28,10,0,4,8,20
Other Liabilities +,19,12,21,61,43,50,93,84,56,126,140,88,76
Total Liabilities,122,114,120,173,150,171,209,252,218,308,348,338,312
Fixed Assets +,42,39,38,117,106,95,83,100,87,90,132,112,106
CWIP,4,0,4,8,0,0,0,0,0,0,0,0,0
Investments,4,11,6,0,0,0,0,0,0,0,0,6,7
Other Assets +,72,64,72,48,44,75,126,152,132,218,216,220,199
Total Assets,122,114,120,173,150,171,209,252,218,308,348,338,312
