,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"7,403","9,231","10,504","12,220","13,615","14,271","15,062","16,825","19,240","20,211","21,713","29,101","33,484"
Expenses +,"6,072","7,720","8,767","10,217","11,372","11,546","12,068","13,621","15,475","16,054","16,857","24,298","27,715"
Operating Profit,"1,331","1,511","1,737","2,004","2,243","2,725","2,994","3,204","3,765","4,157","4,856","4,804","5,769"
OPM %,18%,16%,17%,16%,16%,19%,20%,19%,20%,21%,22%,17%,17%
Other Income +,68,107,114,124,142,213,338,336,274,355,332,296,265
Interest,26,43,42,48,42,49,37,41,110,102,92,95,114
Depreciation,113,121,155,246,266,276,335,360,622,780,791,816,837
Profit before tax,"1,260","1,454","1,655","1,834","2,077","2,614","2,960","3,138","3,306","3,629","4,304","4,188","5,084"
Tax %,30%,30%,30%,31%,31%,32%,32%,33%,33%,24%,26%,26%,
Net Profit,881,"1,021","1,160","1,263","1,427","1,803","2,016","2,098","2,208","2,774","3,207","3,085","3,745"
EPS in Rs,8.79,10.31,11.61,12.71,14.54,18.19,20.22,21.26,22.48,28.20,32.73,31.59,38.22
