,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,11,11,11,11,12,12,12,12,12,15,20,20,20
Reserves,136,173,230,304,607,696,835,"1,006","1,193","1,488","1,876","2,316","2,406"
Borrowings +,48,94,92,142,203,197,229,189,275,191,80,98,95
Other Liabilities +,135,202,211,237,344,397,386,468,618,595,697,952,"1,449"
Total Liabilities,330,480,544,694,"1,165","1,301","1,462","1,675","2,099","2,289","2,673","3,387","3,971"
Fixed Assets +,109,164,215,289,557,645,741,842,"1,105","1,255","1,314","1,496","1,878"
CWIP,13,13,12,8,27,15,25,73,81,44,57,123,86
Investments,-0,-0,-0,-0,-0,-0,-0,-0,0,0,-0,-0,-0
Other Assets +,209,303,317,397,582,641,695,759,913,990,"1,302","1,768","2,007"
Total Assets,330,480,544,694,"1,165","1,301","1,462","1,675","2,099","2,289","2,673","3,387","3,971"
