,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,402,565,802,"1,057","1,410","1,678","1,895","2,073","2,507","2,578","3,176","4,394","4,878"
Expenses +,346,482,687,902,"1,242","1,470","1,633","1,759","2,126","2,136","2,539","3,640","4,151"
Operating Profit,55,83,115,155,168,208,261,314,382,442,638,754,727
OPM %,14%,15%,14%,15%,12%,12%,14%,15%,15%,17%,20%,17%,15%
Other Income +,1,4,2,2,3,-4,8,13,15,11,25,35,50
Interest,4,23,19,31,25,30,18,22,32,39,13,13,34
Depreciation,11,14,18,22,36,42,50,57,81,108,116,127,153
Profit before tax,41,50,80,105,110,132,201,248,283,306,533,648,590
Tax %,21%,21%,24%,24%,29%,22%,28%,29%,30%,18%,23%,24%,
Net Profit,33,39,61,79,78,102,145,176,197,250,408,490,443
EPS in Rs,0.88,1.05,1.62,1.69,3.85,5.06,7.25,8.77,9.81,12.34,20.13,24.08,21.29
