,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,19,19,19,19,19,19,22,23,23,24,35,36,16
Reserves,296,286,555,629,707,670,438,365,286,-510,-585,-348,-367
Borrowings +,400,554,557,733,889,954,"1,013","1,055","1,121","1,007","1,085",803,845
Other Liabilities +,230,298,260,295,358,147,280,219,205,229,210,97,65
Total Liabilities,942,"1,155","1,388","1,674","1,971","1,788","1,747","1,655","1,628",742,727,569,560
Fixed Assets +,182,575,818,333,321,315,663,636,607,564,522,193,179
CWIP,346,59,182,419,636,776,622,669,709,1,1,1,1
Investments,9,11,15,16,15,15,1,0,0,0,0,0,0
Other Assets +,405,510,372,905,"1,000",681,461,349,312,177,204,375,379
Total Assets,942,"1,155","1,388","1,674","1,971","1,788","1,747","1,655","1,628",742,727,569,560
