,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,30,30,30,30,30,30,30,30,30,30,30,30,30
Reserves,541,624,725,919,"1,009","1,585","1,936","2,214","2,676","3,125","3,797","4,399","4,543"
Borrowings +,327,392,370,367,299,316,168,16,55,108,133,144,73
Other Liabilities +,367,412,440,502,485,535,591,749,783,880,976,"1,117","1,148"
Total Liabilities,"1,265","1,459","1,564","1,818","1,823","2,465","2,724","3,009","3,543","4,144","4,935","5,690","5,794"
Fixed Assets +,391,444,506,570,514,750,"1,026","1,027","1,104","1,110","1,402","1,616","1,744"
CWIP,36,66,66,59,112,180,59,96,172,368,250,420,636
Investments,85,75,67,63,66,382,429,470,752,"1,137","1,361","1,339",962
Other Assets +,753,874,925,"1,126","1,131","1,154","1,210","1,415","1,515","1,528","1,922","2,314","2,451"
Total Assets,"1,265","1,459","1,564","1,818","1,823","2,465","2,724","3,009","3,543","4,144","4,935","5,690","5,794"
