,Mar 2006,Mar 2007,Mar 2008,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,6,6,6,11,11,11,11,11,11,43,11
Reserves,23,27,28,142,173,210,251,297,289,266,272
Borrowings +,54,83,87,0,0,0,0,1,16,156,210
Other Liabilities +,32,32,27,67,61,80,95,72,72,113,124
Total Liabilities,114,148,147,221,245,301,357,380,388,545,617
Fixed Assets +,29,36,34,85,87,87,94,93,90,199,217
CWIP,2,1,10,3,3,5,37,117,150,60,46
Investments,0,0,0,0,23,60,26,18,31,0,8
Other Assets +,82,111,103,133,131,149,200,152,117,285,346
Total Assets,114,148,147,221,245,301,357,380,388,545,617
