,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,0,757,826,806,988,10,10,16,59
Expenses +,0,747,802,783,893,11,20,35,83
Operating Profit,-0,10,24,23,95,-1,-10,-19,-24
OPM %,,1%,3%,3%,10%,-9%,-106%,-120%,-41%
Other Income +,0,5,7,21,31,93,"3,156",5,6
Interest,0,4,8,5,4,0,0,0,3
Depreciation,0,18,17,18,20,1,1,3,14
Profit before tax,-0,-8,6,21,103,91,"3,146",-17,-34
Tax %,0%,195%,-21%,87%,30%,1%,23%,21%,
Net Profit,-0,7,7,3,72,90,"2,413",-13,-29
EPS in Rs,,1.20,0.87,0.89,7.62,8.20,336.99,-1.56,-3.08
