,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,295.48,353.87,448.36,"1,097.99",471.67,33.03,70.94
Expenses +,281.09,328.64,434.28,"1,055.03",447.84,25.29,73.92
Operating Profit,14.39,25.23,14.08,42.96,23.83,7.74,-2.98
OPM %,4.87%,7.13%,3.14%,3.91%,5.05%,23.43%,-4.20%
Other Income +,-0.35,0.00,3.58,4.86,1.83,1.04,9.59
Interest,3.55,2.10,4.96,25.29,5.36,2.24,1.38
Depreciation,0.00,0.00,0.01,0.01,0.01,0.01,0.10
Profit before tax,10.49,23.13,12.69,22.52,20.29,6.53,5.13
Tax %,23.36%,15.87%,21.43%,22.20%,24.15%,17.76%,
Net Profit,8.03,19.46,9.97,17.51,15.39,5.37,4.37
EPS in Rs,5.89,14.28,7.32,12.85,11.30,3.94,3.21
