,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,12,12,12,12,12,13,16,21,27,27,31,38,39
Reserves,234,255,266,269,147,113,58,44,78,12,-10,21,37
Borrowings +,228,245,246,266,183,198,224,250,220,187,197,237,212
Other Liabilities +,138,168,168,121,173,175,209,182,201,205,208,191,186
Total Liabilities,611,681,693,669,516,499,507,497,526,432,426,487,474
Fixed Assets +,318,287,291,296,252,223,240,221,205,187,169,150,148
CWIP,41,15,19,0,0,1,0,3,1,1,1,4,1
Investments,25,66,66,32,32,32,0,0,0,0,0,0,0
Other Assets +,228,314,317,342,232,244,267,273,320,244,256,333,326
Total Assets,611,681,693,669,516,499,507,497,526,432,426,487,474
