,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,204,383,626,"1,093","1,709","1,935","2,616","3,393","3,488","4,115","4,101","5,036","5,293"
Expenses +,195,338,575,982,"1,526","1,704","2,284","2,708","3,078","3,659","3,639","4,722","4,935"
Operating Profit,9,45,52,112,182,231,332,684,410,456,461,314,357
OPM %,4%,12%,8%,10%,11%,12%,13%,20%,12%,11%,11%,6%,7%
Other Income +,4,3,1,4,9,20,23,49,59,71,93,54,61
Interest,5,4,4,4,3,3,5,5,5,4,3,4,2
Depreciation,3,4,5,6,9,10,14,24,36,38,41,41,40
Profit before tax,5,40,44,105,180,238,337,704,428,485,510,324,377
Tax %,33%,30%,32%,34%,35%,33%,33%,34%,28%,20%,22%,24%,
Net Profit,4,28,30,70,116,158,226,466,307,386,397,245,276
EPS in Rs,0.28,2.34,2.21,5.18,8.52,11.56,15.83,32.78,20.08,25.43,26.43,16.26,18.16
