,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,9,9,9,9,9,9,9,14,14,14,14,14
Reserves,62,86,116,170,256,414,626,"1,022","1,192","1,390","1,748","1,882","1,915"
Borrowings +,54,50,61,56,58,11,19,7,9,2,4,4,4
Other Liabilities +,26,39,62,163,154,189,414,488,400,475,517,617,693
Total Liabilities,150,183,248,398,478,623,"1,069","1,526","1,615","1,880","2,282","2,516","2,625"
Fixed Assets +,27,43,51,78,90,104,160,312,293,271,292,273,262
CWIP,11,2,2,5,0,42,94,2,9,26,6,40,129
Investments,34,45,35,40,111,33,360,584,630,680,"1,235",931,"1,088"
Other Assets +,78,93,161,276,277,444,454,628,683,903,749,"1,272","1,146"
Total Assets,150,183,248,398,478,623,"1,069","1,526","1,615","1,880","2,282","2,516","2,625"
