,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,8,8,8,15,15,15,15,15,15,15,15,15,15
Reserves,49,94,131,152,171,185,209,223,236,260,295,354,389
Borrowings +,56,39,35,5,7,10,15,36,81,46,54,25,98
Other Liabilities +,27,56,54,64,44,39,36,55,56,57,62,55,100
Total Liabilities,139,196,228,237,237,249,275,330,389,378,426,449,602
Fixed Assets +,37,39,45,51,53,58,57,56,98,99,89,82,78
CWIP,-0,-0,3,0,2,1,-0,28,-0,-0,-0,2,1
Investments,-0,-0,1,15,7,28,38,30,7,8,8,28,39
Other Assets +,102,157,179,171,175,162,180,215,283,271,329,337,484
Total Assets,139,196,228,237,237,249,275,330,389,378,426,449,602
