,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"4,590","4,254","4,697","6,662","4,985","4,584","4,811","5,109"
Expenses +,"4,326","4,011","4,414","6,325","4,780","4,281","4,560","4,783"
Operating Profit,264,243,283,338,205,303,250,326
OPM %,6%,6%,6%,5%,4%,7%,5%,6%
Other Income +,46,30,-26,65,46,95,55,52
Interest,108,80,59,118,171,76,70,45
Depreciation,27,30,34,44,74,75,69,73
Profit before tax,174,163,164,241,7,246,166,259
Tax %,38%,37%,49%,36%,244%,23%,25%,
Net Profit,108,102,84,154,-10,189,124,190
EPS in Rs,9.62,9.09,7.38,13.76,-0.82,16.64,11.19,16.61
