,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,111,111,111,111,111,111,111,111,111,111,111,111,111
Reserves,"7,340","8,569","10,234","11,888","13,282","15,182","17,707","25,090","26,841","27,652","37,056","42,731","42,874"
Borrowings +,-0,-0,-0,-0,-0,-0,-0,-0,-0,168,136,114,107
Other Liabilities +,489,455,430,449,500,178,71,68,56,"4,797","8,186","10,632","11,954"
Total Liabilities,"7,940","9,135","10,775","12,448","13,893","15,472","17,889","25,269","27,008","32,729","45,490","53,588","55,046"
Fixed Assets +,373,384,532,532,544,544,222,215,193,374,342,310,293
CWIP,-0,160,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1
Investments,"6,875","7,706","9,577","11,325","13,078","13,276","17,364","24,575","26,257","32,068","44,914","52,964","52,991"
Other Assets +,692,885,666,592,271,"1,651",302,478,558,287,234,314,"1,762"
Total Assets,"7,940","9,135","10,775","12,448","13,893","15,472","17,889","25,269","27,008","32,729","45,490","53,588","55,046"
