,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,13,13,13,13,15,15,20,20,20,20,20,20
Reserves,359,378,390,370,369,520,492,833,742,672,553,424,378
Borrowings +,0,0,0,0,0,0,0,0,0,30,5,48,82
Other Liabilities +,28,33,46,52,48,74,121,96,119,166,189,186,221
Total Liabilities,400,425,449,435,430,609,628,949,880,888,767,679,701
Fixed Assets +,86,32,27,22,28,34,36,42,38,59,27,22,25
CWIP,0,1,0,1,0,2,11,2,1,2,0,0,0
Investments,176,228,150,197,177,218,198,474,300,126,43,19,10
Other Assets +,139,165,272,215,224,355,384,431,542,701,697,638,667
Total Assets,400,425,449,435,430,609,628,949,880,888,767,679,701
