,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,347,447,509,608,616,640,668,858,940,935,"1,308","2,319","2,642"
Expenses +,284,367,429,517,515,514,519,676,747,754,935,"1,689","1,901"
Operating Profit,63,81,80,91,102,127,149,182,193,181,373,630,741
OPM %,18%,18%,16%,15%,17%,20%,22%,21%,21%,19%,29%,27%,28%
Other Income +,2,4,4,3,4,3,9,12,4,5,6,7,13
Interest,14,21,25,32,35,22,13,9,13,23,18,17,16
Depreciation,8,10,13,16,20,19,20,19,20,32,34,42,43
Profit before tax,43,53,46,46,51,88,126,166,165,131,327,578,695
Tax %,38%,32%,32%,27%,35%,34%,34%,32%,29%,26%,25%,28%,
Net Profit,27,36,31,34,33,58,82,113,117,97,243,418,499
EPS in Rs,8.21,11.00,9.62,10.34,10.25,17.78,25.42,34.93,36.27,32.34,73.51,113.71,127.71
