,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,26,24,24,24,24,24,24,23,23,22,21,20,20
Reserves,"1,272","1,188","1,292","1,192","1,103","1,205","1,537","1,594","2,095","2,394","2,598","2,749","2,725"
Borrowings +,"2,010","1,988","1,763","1,527","1,678","1,667","1,782",990,"1,734","1,482","1,240","1,211",481
Other Liabilities +,507,"1,007","1,144","1,416","1,099",805,685,"1,093",851,910,774,512,355
Total Liabilities,"3,815","4,207","4,223","4,159","3,904","3,701","4,027","3,700","4,703","4,808","4,634","4,492","3,582"
Fixed Assets +,"1,717","1,615","1,523","1,524","1,377","1,340","1,412","1,446","1,422","1,624","1,599","1,634","1,659"
CWIP,6,0,5,0,8,86,6,11,46,12,14,204,767
Investments,2,42,42,41,41,48,74,122,166,244,249,173,194
Other Assets +,"2,091","2,549","2,653","2,594","2,479","2,226","2,535","2,121","3,070","2,927","2,772","2,482",962
Total Assets,"3,815","4,207","4,223","4,159","3,904","3,701","4,027","3,700","4,703","4,808","4,634","4,492","3,582"
