,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,14,14,14,14,14,14,14,14,14,14,14
Reserves,101,76,76,59,53,54,66,70,70,77,78,83,84
Borrowings +,56,53,71,77,41,42,44,31,29,27,24,28,28
Other Liabilities +,22,18,18,18,30,28,27,52,45,34,22,20,24
Total Liabilities,193,159,179,168,138,139,151,166,157,152,138,145,149
Fixed Assets +,18,18,19,22,21,20,28,32,31,20,20,18,18
CWIP,1,10,10,10,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,11,11,1,0,0,0,0,0,0
Other Assets +,173,131,149,135,106,108,122,134,126,131,117,126,131
Total Assets,193,159,179,168,138,139,151,166,157,152,138,145,149
