,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,179,188,270,194,148,159,173,187,168,110,57,83,106
Expenses +,170,185,264,209,149,155,167,184,166,109,58,78,100
Operating Profit,9,3,6,-15,-1,5,6,3,2,1,-1,6,6
OPM %,5%,2%,2%,-8%,-1%,3%,4%,1%,1%,1%,-2%,7%,6%
Other Income +,10,4,4,4,3,3,4,4,3,10,5,2,2
Interest,6,6,5,5,5,5,2,1,1,1,1,1,1
Depreciation,2,1,1,1,3,2,2,2,2,2,2,2,1
Profit before tax,11,-0,4,-17,-6,1,6,4,2,8,1,5,6
Tax %,25%,400%,64%,1%,5%,-11%,35%,13%,95%,5%,-49%,2%,
Net Profit,9,0,1,-17,-6,1,4,3,0,7,1,5,4
EPS in Rs,6.32,0.09,0.97,-12.60,-4.12,0.84,2.80,2.35,0.07,5.38,1.03,3.64,3.18
