,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,13,14,14,14,14,17,19,19
Reserves,111,133,131,118,-8,128,366,386
Borrowings +,52,87,478,578,727,603,610,665
Other Liabilities +,61,62,100,110,223,391,145,173
Total Liabilities,238,296,723,819,955,"1,138","1,141","1,244"
Fixed Assets +,165,198,548,682,813,732,872,963
CWIP,14,22,19,16,11,6,21,25
Investments,3,3,0,0,0,0,0,0
Other Assets +,55,73,157,121,132,400,248,256
Total Assets,238,296,723,819,955,"1,138","1,141","1,244"
