,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,16,16,16,16,16,16,16,16,16,32,32
Reserves,199,227,228,244,269,279,297,297,286,420,414
Borrowings +,382,448,462,499,555,702,725,680,584,520,598
Other Liabilities +,96,120,146,189,101,211,222,255,229,276,221
Total Liabilities,694,810,852,947,941,"1,208","1,259","1,247","1,114","1,249","1,265"
Fixed Assets +,442,440,452,514,574,669,659,640,613,599,632
CWIP,7,2,50,20,3,1,1,4,17,30,1
Investments,23,24,5,4,21,1,1,0,0,2,4
Other Assets +,222,344,344,409,345,537,598,603,484,618,627
Total Assets,694,810,852,947,941,"1,208","1,259","1,247","1,114","1,249","1,265"
