,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,559,699,730,822,868,"1,008","1,174","1,134","1,019","1,560","1,642"
Expenses +,445,581,647,726,783,911,"1,057","1,038",940,"1,393","1,528"
Operating Profit,113,118,83,96,85,97,117,96,78,167,114
OPM %,20%,17%,11%,12%,10%,10%,10%,8%,8%,11%,7%
Other Income +,1,1,3,1,3,6,9,18,4,6,5
Interest,38,38,38,38,44,60,67,72,62,53,53
Depreciation,36,35,28,30,30,31,34,33,33,34,34
Profit before tax,41,46,20,29,15,11,25,10,-12,86,31
Tax %,33%,31%,33%,33%,22%,15%,6%,41%,14%,34%,
Net Profit,27,32,13,20,12,10,24,6,-10,56,19
EPS in Rs,4.23,4.89,2.05,3.02,1.78,1.36,3.24,0.37,-1.70,8.09,2.07
