,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,232,245,267,267,267,216,204,211,249,195,152,197,232
Expenses +,222,237,262,260,268,219,210,216,244,202,148,189,219
Operating Profit,10,7,5,7,-1,-3,-6,-5,5,-7,4,8,13
OPM %,4%,3%,2%,3%,-0%,-1%,-3%,-2%,2%,-3%,2%,4%,6%
Other Income +,6,8,14,6,2,18,2,8,6,4,18,2,2
Interest,8,9,9,7,8,9,8,7,8,9,9,8,7
Depreciation,6,6,7,7,7,6,5,5,4,6,4,4,4
Profit before tax,2,0,3,-2,-14,-0,-17,-9,-1,-18,8,-2,4
Tax %,-31%,208%,28%,-46%,14%,-100%,21%,-16%,"2,144%",9%,-3%,-107%,
Net Profit,3,-1,2,-3,-12,-0,-14,-10,13,-16,8,-5,1
EPS in Rs,0.95,-0.18,0.85,-1.00,-4.19,-0.05,-4.71,-3.61,4.49,-5.53,2.83,-1.64,0.31
