,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,14,14,28,28,43,43,28,43,30,30,33,33,34
Reserves,248,308,277,46,58,25,41,47,-11,-206,162,215,224
Borrowings +,0,129,319,238,146,162,173,144,808,596,328,481,632
Other Liabilities +,208,468,579,521,400,408,346,360,"1,605","1,886","1,781","1,922","2,059"
Total Liabilities,470,919,"1,203",833,633,623,589,580,"2,432","2,306","2,303","2,650","2,948"
Fixed Assets +,19,44,129,117,90,109,111,114,399,557,622,732,732
CWIP,3,0,0,3,0,0,0,0,0,0,0,0,0
Investments,80,80,0,0,0,0,0,0,0,0,0,0,0
Other Assets +,368,794,"1,074",713,543,514,478,467,"2,032","1,749","1,681","1,918","2,216"
Total Assets,470,919,"1,203",833,633,623,589,580,"2,432","2,306","2,303","2,650","2,948"
