,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"5,148","5,928","6,519","7,271","8,197","8,762","9,434","10,238","11,423","11,889","13,396","14,544","15,628"
Expenses +,"4,919","5,582","6,077","6,642","7,335","7,558","8,164","8,919","9,741","10,138","11,247","12,939","14,327"
Operating Profit,228,345,442,629,861,"1,204","1,270","1,319","1,683","1,751","2,150","1,605","1,301"
OPM %,4%,6%,7%,9%,11%,14%,13%,13%,15%,15%,16%,11%,8%
Other Income +,231,248,76,88,295,161,186,201,391,440,338,376,412
Interest,101,78,71,43,41,44,43,55,60,124,151,252,330
Depreciation,83,74,83,94,155,126,131,153,172,200,213,215,219
Profit before tax,275,442,363,579,961,"1,195","1,282","1,312","1,841","1,868","2,124","1,514","1,164"
Tax %,29%,26%,28%,31%,28%,34%,33%,41%,35%,31%,40%,47%,
Net Profit,194,330,260,402,696,792,858,773,"1,189","1,280","1,278",809,495
EPS in Rs,16.85,32.97,18.96,29.68,51.15,55.36,60.45,39.76,89.00,85.75,52.96,9.09,-40.00
