,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,17,17,17,17,17,17,17,17,17
Reserves,168,110,145,241,282,340,665,965,"1,021"
Borrowings +,42,32,137,0,0,0,0,0,0
Other Liabilities +,169,191,121,166,230,297,96,127,105
Total Liabilities,396,349,420,423,529,653,777,"1,108","1,142"
Fixed Assets +,122,82,93,107,144,150,141,145,143
CWIP,0,0,0,6,0,2,0,0,0
Investments,0,0,0,1,1,2,2,2,2
Other Assets +,274,267,326,309,384,500,634,962,997
Total Assets,396,349,420,423,529,653,777,"1,108","1,142"
