,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,179,191,197,234,279,299,310,513,569,562,787,"1,574","1,653"
Expenses +,164,169,184,222,269,290,295,500,550,547,769,"1,543","1,627"
Operating Profit,15,22,13,12,10,9,14,13,19,15,19,30,26
OPM %,8%,11%,7%,5%,3%,3%,5%,2%,3%,3%,2%,2%,2%
Other Income +,6,16,6,7,7,7,2,12,1,1,0,1,1
Interest,2,31,7,8,8,8,6,4,8,10,8,12,13
Depreciation,6,6,8,7,6,6,5,4,4,5,6,6,6
Profit before tax,14,1,4,3,2,2,5,17,9,1,5,13,8
Tax %,25%,53%,12%,2%,-20%,-14%,-3%,24%,26%,12%,33%,17%,
Net Profit,11,0,3,3,3,3,5,13,6,1,3,11,6
EPS in Rs,1.56,0.07,0.52,0.50,0.54,0.39,1.68,3.97,1.98,0.33,1.09,3.46,1.76
