,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,"42,526","48,340","48,903","39,561","31,323","25,505","28,465","28,827","30,441","21,463","17,309","21,211","23,072"
Expenses +,"33,893","38,393","39,420","34,982","29,183","26,862","27,370","27,174","28,409","21,596","20,357","20,383","22,245"
Operating Profit,"8,633","9,947","9,483","4,579","2,141","-1,357","1,095","1,653","2,032",-133,"-3,049",828,827
OPM %,20%,21%,19%,12%,7%,-5%,4%,6%,7%,-1%,-18%,4%,4%
Other Income +,"1,035","1,276","1,132","1,617","1,221","1,492",753,679,662,590,393,405,545
Interest,56,53,128,133,92,360,413,330,378,613,467,448,403
Depreciation,546,803,957,985,"1,082",937,850,787,476,503,473,314,285
Profit before tax,"9,065","10,367","9,531","5,078","2,187","-1,161",586,"1,215","1,840",-659,"-3,596",470,684
Tax %,33%,32%,30%,31%,34%,39%,22%,64%,46%,-123%,25%,5%,
Net Profit,"6,053","7,087","6,693","3,502","1,450",-706,455,438,"1,002","-1,468","-2,700",445,764
EPS in Rs,16.49,19.30,18.23,9.54,3.96,-1.92,1.25,1.20,2.89,-4.21,-7.75,1.28,2.19
