,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019
Share Capital +,9.00,10.50,10.50,10.50,21.00,21.00,21.00,21.00,21.00
Reserves,72.48,96.83,111.37,131.55,-145.56,-151.63,-143.20,-140.12,-138.47
Borrowings +,46.46,95.82,129.50,200.60,180.20,180.15,180.06,175.84,175.87
Other Liabilities +,32.11,64.28,93.12,112.91,19.35,26.27,32.37,20.56,20.26
Total Liabilities,160.05,267.43,344.49,455.56,74.99,75.79,90.23,77.28,78.66
Fixed Assets +,8.12,37.97,69.98,78.85,3.88,3.45,2.95,2.14,1.91
CWIP,8.08,13.22,13.74,16.82,0.00,0.00,0.00,0.00,0.00
Investments,4.71,5.02,4.72,4.71,5.25,2.70,2.56,2.05,3.74
Other Assets +,139.14,211.22,256.05,355.18,65.86,69.64,84.72,73.09,73.01
Total Assets,160.05,267.43,344.49,455.56,74.99,75.79,90.23,77.28,78.66
