,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017
Sales +,962,"1,961","2,260","1,904","2,273","2,669","2,476","2,294","2,038","1,892"
Expenses +,622,"1,599","1,640","1,641","2,001","2,250","2,310","2,094","1,965","1,755"
Operating Profit,339,362,619,264,272,419,167,201,72,137
OPM %,35%,18%,27%,14%,12%,16%,7%,9%,4%,7%
Other Income +,8,27,27,4,32,64,-33,130,10,19
Interest,46,100,118,139,189,248,313,393,404,476
Depreciation,56,92,108,118,125,154,166,135,144,129
Profit before tax,245,195,420,11,-11,80,-345,-197,-465,-449
Tax %,28%,24%,30%,-62%,-70%,42%,27%,21%,29%,18%
Net Profit,176,149,292,18,-19,47,-253,-156,-332,-370
EPS in Rs,8.66,7.24,14.40,0.93,-1.01,2.48,-13.21,-8.04,-17.13,-19.47
