,Dec 2010,Dec 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,24,24,24,24,24,24,24,24,24,24,24,24,24
Reserves,521,640,636,619,284,358,406,508,554,467,568,848,"1,005"
Borrowings +,-0,-0,-0,-0,332,397,491,418,573,530,"1,522","1,066","1,072"
Other Liabilities +,151,180,391,297,349,486,477,553,661,"1,620",783,891,971
Total Liabilities,697,844,"1,051",940,988,"1,265","1,397","1,503","1,811","2,641","2,897","2,829","3,071"
Fixed Assets +,184,233,221,228,216,453,471,518,654,"1,665","1,583","1,437","1,477"
CWIP,27,3,12,8,25,21,67,99,91,18,7,69,5
Investments,97,74,23,24,26,-0,-0,-0,-0,-0,150,207,368
Other Assets +,389,534,795,679,721,790,860,885,"1,066",958,"1,158","1,115","1,221"
Total Assets,697,844,"1,051",940,988,"1,265","1,397","1,503","1,811","2,641","2,897","2,829","3,071"
