,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,20,22,37,47,47,22,22,24,25,24,24,24,25
Reserves,48,36,13,43,135,213,341,673,805,864,957,"1,031","1,049"
Borrowings +,259,345,348,372,209,143,151,181,171,257,454,676,644
Other Liabilities +,222,172,90,156,169,132,193,194,290,310,314,382,357
Total Liabilities,549,575,473,593,534,510,707,"1,072","1,290","1,455","1,749","2,113","2,074"
Fixed Assets +,272,279,265,168,190,192,222,437,609,656,804,817,803
CWIP,1,2,0,9,3,0,9,19,26,7,14,70,274
Investments,1,0,1,1,2,2,17,17,6,3,6,0,0
Other Assets +,275,294,207,415,339,316,459,599,650,789,924,"1,227",997
Total Assets,549,575,473,593,534,510,707,"1,072","1,290","1,455","1,749","2,113","2,074"
