,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,41,41,41,41,45,41,41,41,41
Reserves,"1,511","1,245",293,596,168,46,-210,-772,-918
Borrowings +,"1,835","2,519","2,542","2,803","3,968","4,153","4,172","4,442","4,043"
Other Liabilities +,698,654,761,707,"1,004",561,635,520,598
Total Liabilities,"4,085","4,459","3,637","4,147","5,181","4,800","4,639","4,231","3,765"
Fixed Assets +,879,631,572,556,528,521,488,466,454
CWIP,75,72,75,74,5,1,1,0,1
Investments,54,54,773,950,"1,062",377,474,367,391
Other Assets +,"3,077","3,701","2,218","2,566","3,586","3,901","3,677","3,397","2,919"
Total Assets,"4,085","4,459","3,637","4,147","5,181","4,800","4,639","4,231","3,765"
