,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2016,Mar 2022
Sales +,137,202,198,94,82,89,76,94,105,40,38
Expenses +,432,228,397,116,128,97,85,99,127,41,38
Operating Profit,-295,-26,-199,-23,-47,-8,-10,-5,-22,-1,0
OPM %,-216%,-13%,-101%,-24%,-57%,-9%,-13%,-6%,-21%,-2%,0%
Other Income +,68,15,11,2,67,116,72,39,17,16,11
Interest,10,18,24,25,13,11,5,11,8,1,2
Depreciation,39,40,23,16,11,21,8,2,4,0,2
Profit before tax,-276,-70,-235,-62,-4,77,49,21,-17,14,8
Tax %,-5%,-1%,38%,106%,22%,1%,-18%,192%,-755%,159%,-69%
Net Profit,-291,-70,-146,4,-3,76,58,-19,-149,-14,13
EPS in Rs,,-15.73,-30.03,0.81,-0.58,16.25,12.00,-1.17,-29.01,-2.85,2.65
