,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,TTM
Sales +,2,-28,0,1,0,1,0,0,5,-0,-0,-0,0
Expenses +,6,19,2,55,7,1,1,2,22,2,1,1,1
Operating Profit,-4,-47,-2,-54,-6,-1,-1,-1,-16,-2,-1,-1,-1
OPM %,-226%,,-550%,"-7,651%","-1,744%",-88%,-189%,-318%,-318%,,,,
Other Income +,-1,-233,2,24,2,-3,5,2,-4,-4,2,7,15
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,-5,-280,-0,-30,-4,-3,4,1,-20,-6,1,6,14
Tax %,-7%,0%,-240%,-3%,-14%,-10%,31%,15%,-0%,-0%,65%,18%,
Net Profit,-5,-279,-0,-31,-5,-4,3,1,-20,-7,0,5,11
EPS in Rs,-0.66,-33.81,-0.06,-3.76,-0.59,-0.44,0.35,0.07,-2.45,-0.79,0.06,0.59,1.30
